city,datetime,temp,humidity,pressure,wind_speed,wind_bearing,visibility,clouds,lat,lon
Nam Dinh,2026-03-20 18:00:00,21.55,89,1013,2.51,104,10000,74,20.4167,106.1667
Nam Dinh,2026-03-20 21:00:00,21.61,88,1012,2.76,98,10000,78,20.4167,106.1667
Nam Dinh,2026-03-21 00:00:00,22.43,86,1014,3.0,106,10000,75,20.4167,106.1667
Nam Dinh,2026-03-21 03:00:00,24.74,77,1016,4.9,137,10000,96,20.4167,106.1667
Nam Dinh,2026-03-21 06:00:00,25.49,70,1014,5.3,147,10000,98,20.4167,106.1667
Nam Dinh,2026-03-21 09:00:00,25.82,67,1011,5.39,128,10000,96,20.4167,106.1667
Nam Dinh,2026-03-21 12:00:00,23.23,79,1012,3.41,120,10000,95,20.4167,106.1667
Nam Dinh,2026-03-21 15:00:00,22.3,86,1014,2.49,122,10000,56,20.4167,106.1667
Nam Dinh,2026-03-21 18:00:00,22.51,86,1013,2.26,134,10000,80,20.4167,106.1667
Nam Dinh,2026-03-21 21:00:00,21.85,94,1012,2.03,134,10000,48,20.4167,106.1667
Nam Dinh,2026-03-22 00:00:00,22.99,89,1014,2.96,144,10000,55,20.4167,106.1667
Nam Dinh,2026-03-22 03:00:00,26.52,67,1016,5.78,160,10000,55,20.4167,106.1667
Nam Dinh,2026-03-22 06:00:00,26.76,64,1013,6.89,157,10000,79,20.4167,106.1667
Nam Dinh,2026-03-22 09:00:00,26.41,64,1011,6.19,151,10000,86,20.4167,106.1667
Nam Dinh,2026-03-22 12:00:00,23.19,81,1012,3.21,127,10000,56,20.4167,106.1667
Nam Dinh,2026-03-22 15:00:00,22.25,89,1013,2.95,138,10000,1,20.4167,106.1667
Nam Dinh,2026-03-22 18:00:00,21.78,93,1012,2.47,160,10000,0,20.4167,106.1667
Nam Dinh,2026-03-22 21:00:00,21.22,95,1011,2.02,168,10000,0,20.4167,106.1667
Nam Dinh,2026-03-23 00:00:00,22.57,90,1013,2.46,157,10000,1,20.4167,106.1667
Nam Dinh,2026-03-23 03:00:00,27.46,61,1014,5.86,163,10000,48,20.4167,106.1667
Nam Dinh,2026-03-23 06:00:00,28.28,57,1011,6.52,161,10000,59,20.4167,106.1667
Nam Dinh,2026-03-23 09:00:00,27.18,60,1009,6.17,148,10000,70,20.4167,106.1667
Nam Dinh,2026-03-23 12:00:00,23.83,78,1011,2.82,140,10000,40,20.4167,106.1667
Long Xuyen,2026-03-18 15:00:00,25.41,73,1012,4.22,139,10000,24,10.3833,105.4167
Long Xuyen,2026-03-18 18:00:00,24.99,77,1012,2.26,138,10000,21,10.3833,105.4167
Long Xuyen,2026-03-18 21:00:00,23.84,86,1011,1.86,141,10000,15,10.3833,105.4167
Long Xuyen,2026-03-19 00:00:00,24.24,85,1013,2.17,128,10000,19,10.3833,105.4167
Long Xuyen,2026-03-19 03:00:00,29.68,46,1013,3.42,121,10000,17,10.3833,105.4167
Long Xuyen,2026-03-19 06:00:00,34.21,31,1009,2.45,119,10000,13,10.3833,105.4167
Long Xuyen,2026-03-19 09:00:00,37.47,25,1006,3.65,128,10000,32,10.3833,105.4167
Long Xuyen,2026-03-19 12:00:00,28.96,59,1010,5.48,223,10000,65,10.3833,105.4167
Long Xuyen,2026-03-19 15:00:00,26.29,66,1012,4.34,166,10000,23,10.3833,105.4167
Long Xuyen,2026-03-19 18:00:00,23.98,81,1012,3.23,152,10000,12,10.3833,105.4167
Long Xuyen,2026-03-19 21:00:00,22.85,86,1011,1.91,141,10000,26,10.3833,105.4167
Long Xuyen,2026-03-20 00:00:00,24.05,79,1013,2.63,124,10000,46,10.3833,105.4167
Long Xuyen,2026-03-20 03:00:00,31.14,47,1013,3.69,127,10000,5,10.3833,105.4167
Long Xuyen,2026-03-20 06:00:00,35.83,34,1009,2.82,153,10000,8,10.3833,105.4167
Long Xuyen,2026-03-20 09:00:00,34.44,36,1007,6.63,151,10000,80,10.3833,105.4167
Long Xuyen,2026-03-20 12:00:00,28.78,59,1010,5.67,217,10000,89,10.3833,105.4167
Long Xuyen,2026-03-20 15:00:00,26.7,67,1013,3.37,179,10000,75,10.3833,105.4167
Long Xuyen,2026-03-20 18:00:00,24.31,73,1012,2.27,156,10000,40,10.3833,105.4167
Long Xuyen,2026-03-20 21:00:00,23.29,83,1011,2.7,150,10000,12,10.3833,105.4167
Long Xuyen,2026-03-21 00:00:00,24.41,81,1013,3.23,123,10000,56,10.3833,105.4167
Long Xuyen,2026-03-21 03:00:00,31.71,45,1013,3.74,116,10000,100,10.3833,105.4167
Long Xuyen,2026-03-21 06:00:00,36.49,33,1009,2.78,122,10000,81,10.3833,105.4167
Long Xuyen,2026-03-21 09:00:00,34.16,38,1007,5.0,110,10000,77,10.3833,105.4167
Long Xuyen,2026-03-21 12:00:00,27.34,69,1010,5.01,211,10000,82,10.3833,105.4167
Long Xuyen,2026-03-21 15:00:00,26.13,65,1012,3.51,144,10000,54,10.3833,105.4167
Long Xuyen,2026-03-21 18:00:00,24.33,74,1012,2.75,154,10000,27,10.3833,105.4167
Long Xuyen,2026-03-21 21:00:00,23.53,83,1011,2.43,145,10000,20,10.3833,105.4167
Long Xuyen,2026-03-22 00:00:00,24.77,81,1012,2.9,126,10000,8,10.3833,105.4167
Long Xuyen,2026-03-22 03:00:00,32.5,42,1013,4.66,112,10000,41,10.3833,105.4167
Long Xuyen,2026-03-22 06:00:00,36.75,31,1009,3.89,119,10000,25,10.3833,105.4167
Long Xuyen,2026-03-22 09:00:00,35.06,34,1006,6.5,110,10000,79,10.3833,105.4167
Long Xuyen,2026-03-22 12:00:00,29.39,58,1010,3.98,202,10000,83,10.3833,105.4167
Long Xuyen,2026-03-22 15:00:00,26.39,63,1012,3.89,131,10000,68,10.3833,105.4167
Long Xuyen,2026-03-22 18:00:00,24.25,79,1010,2.39,148,10000,40,10.3833,105.4167
Long Xuyen,2026-03-22 21:00:00,23.31,87,1010,1.58,148,10000,2,10.3833,105.4167
Long Xuyen,2026-03-23 00:00:00,24.65,82,1012,2.76,121,10000,5,10.3833,105.4167
Long Xuyen,2026-03-23 03:00:00,31.72,47,1012,4.44,121,10000,23,10.3833,105.4167
Long Xuyen,2026-03-23 06:00:00,36.88,33,1008,2.95,102,10000,31,10.3833,105.4167
Long Xuyen,2026-03-23 09:00:00,31.57,46,1007,6.4,178,10000,99,10.3833,105.4167
Long Xuyen,2026-03-23 12:00:00,29.86,53,1009,4.58,176,10000,84,10.3833,105.4167
Rach Gia,2026-03-18 15:00:00,26.58,70,1012,5.57,146,10000,36,10.0167,105.0833
Rach Gia,2026-03-18 18:00:00,26.07,73,1012,3.13,129,10000,31,10.0167,105.0833
Rach Gia,2026-03-18 21:00:00,25.01,80,1011,3.27,117,10000,17,10.0167,105.0833
Rach Gia,2026-03-19 00:00:00,24.23,85,1013,3.26,113,10000,15,10.0167,105.0833
Rach Gia,2026-03-19 03:00:00,28.74,55,1014,2.54,111,10000,11,10.0167,105.0833
Rach Gia,2026-03-19 06:00:00,30.29,54,1010,3.15,260,10000,7,10.0167,105.0833
Rach Gia,2026-03-19 09:00:00,30.18,59,1007,6.84,253,10000,12,10.0167,105.0833
Rach Gia,2026-03-19 12:00:00,27.56,73,1010,6.14,221,10000,17,10.0167,105.0833
Rach Gia,2026-03-19 15:00:00,27.03,73,1013,5.04,181,10000,9,10.0167,105.0833
Rach Gia,2026-03-19 18:00:00,25.67,78,1012,3.96,140,10000,6,10.0167,105.0833
Rach Gia,2026-03-19 21:00:00,24.72,82,1011,3.44,123,10000,61,10.0167,105.0833
Rach Gia,2026-03-20 00:00:00,24.49,81,1013,3.81,105,10000,64,10.0167,105.0833
Rach Gia,2026-03-20 03:00:00,28.78,56,1013,3.01,124,10000,6,10.0167,105.0833
Rach Gia,2026-03-20 06:00:00,30.13,54,1010,3.01,249,10000,6,10.0167,105.0833
Rach Gia,2026-03-20 09:00:00,28.94,63,1008,6.35,235,10000,38,10.0167,105.0833
Rach Gia,2026-03-20 12:00:00,27.62,72,1010,5.98,230,10000,42,10.0167,105.0833
Rach Gia,2026-03-20 15:00:00,27.09,73,1013,3.97,186,10000,30,10.0167,105.0833
Rach Gia,2026-03-20 18:00:00,25.93,70,1012,2.93,149,10000,24,10.0167,105.0833
Rach Gia,2026-03-20 21:00:00,25.03,77,1011,3.48,131,10000,8,10.0167,105.0833
Rach Gia,2026-03-21 00:00:00,24.85,82,1013,4.09,113,10000,48,10.0167,105.0833
Rach Gia,2026-03-21 03:00:00,29.23,57,1014,3.18,105,10000,100,10.0167,105.0833
Rach Gia,2026-03-21 06:00:00,31.25,52,1010,2.36,251,10000,68,10.0167,105.0833
Rach Gia,2026-03-21 09:00:00,29.96,66,1007,6.34,258,10000,47,10.0167,105.0833
Rach Gia,2026-03-21 12:00:00,26.39,82,1010,6.44,207,10000,73,10.0167,105.0833
Rach Gia,2026-03-21 15:00:00,27.46,65,1012,5.14,142,10000,30,10.0167,105.0833
Rach Gia,2026-03-21 18:00:00,25.63,74,1012,4.28,125,10000,23,10.0167,105.0833
Rach Gia,2026-03-21 21:00:00,24.97,81,1011,3.94,121,10000,34,10.0167,105.0833
Rach Gia,2026-03-22 00:00:00,25.06,82,1012,3.99,113,10000,17,10.0167,105.0833
Rach Gia,2026-03-22 03:00:00,29.72,57,1013,4.52,109,10000,10,10.0167,105.0833
Rach Gia,2026-03-22 06:00:00,31.96,51,1009,1.43,223,10000,6,10.0167,105.0833
Rach Gia,2026-03-22 09:00:00,30.87,60,1007,6.68,238,10000,63,10.0167,105.0833
Rach Gia,2026-03-22 12:00:00,28.6,72,1010,5.48,218,10000,84,10.0167,105.0833
Rach Gia,2026-03-22 15:00:00,27.42,68,1012,5.86,140,10000,51,10.0167,105.0833
Rach Gia,2026-03-22 18:00:00,25.76,76,1011,3.57,121,10000,26,10.0167,105.0833
Rach Gia,2026-03-22 21:00:00,25.01,82,1010,2.97,112,10000,0,10.0167,105.0833
Rach Gia,2026-03-23 00:00:00,25.07,83,1012,3.41,107,10000,1,10.0167,105.0833
Rach Gia,2026-03-23 03:00:00,29.62,55,1012,4.3,112,10000,4,10.0167,105.0833
Rach Gia,2026-03-23 06:00:00,31.43,52,1008,2.71,250,10000,2,10.0167,105.0833
Rach Gia,2026-03-23 09:00:00,30.94,59,1007,5.04,172,8792,99,10.0167,105.0833
Rach Gia,2026-03-23 12:00:00,28.14,71,1009,5.48,218,10000,98,10.0167,105.0833
Ca Mau,2026-03-18 15:00:00,25.04,78,1013,2.23,123,10000,1,9.1769,105.15
Ca Mau,2026-03-18 18:00:00,24.6,81,1013,0.93,125,10000,5,9.1769,105.15
Ca Mau,2026-03-18 21:00:00,23.67,85,1012,1.1,76,10000,14,9.1769,105.15
Ca Mau,2026-03-19 00:00:00,24.59,80,1013,1.51,79,10000,44,9.1769,105.15
Ca Mau,2026-03-19 03:00:00,31.35,43,1013,4.13,102,10000,18,9.1769,105.15
Ca Mau,2026-03-19 06:00:00,34.64,36,1010,6.66,111,10000,20,9.1769,105.15
Ca Mau,2026-03-19 09:00:00,30.64,51,1009,1.77,98,10000,72,9.1769,105.15
Ca Mau,2026-03-19 12:00:00,26.72,67,1010,2.64,128,10000,48,9.1769,105.15
Ca Mau,2026-03-19 15:00:00,24.88,83,1013,1.71,117,10000,1,9.1769,105.15
Ca Mau,2026-03-19 18:00:00,23.71,89,1011,1.42,132,10000,2,9.1769,105.15
Ca Mau,2026-03-19 21:00:00,22.96,90,1011,1.12,119,10000,4,9.1769,105.15
Ca Mau,2026-03-20 00:00:00,24.63,79,1012,2.08,92,10000,6,9.1769,105.15
Ca Mau,2026-03-20 03:00:00,31.89,43,1013,4.01,100,10000,61,9.1769,105.15
Ca Mau,2026-03-20 06:00:00,35.12,34,1010,6.32,109,10000,37,9.1769,105.15
Ca Mau,2026-03-20 09:00:00,31.56,47,1009,1.84,107,10000,77,9.1769,105.15
Ca Mau,2026-03-20 12:00:00,26.46,65,1011,3.13,126,10000,52,9.1769,105.15
Ca Mau,2026-03-20 15:00:00,24.9,76,1013,1.68,135,10000,55,9.1769,105.15
Ca Mau,2026-03-20 18:00:00,23.64,82,1012,1.11,139,10000,39,9.1769,105.15
Ca Mau,2026-03-20 21:00:00,23.13,85,1011,1.33,120,10000,73,9.1769,105.15
Ca Mau,2026-03-21 00:00:00,24.96,80,1013,1.81,108,10000,86,9.1769,105.15
Ca Mau,2026-03-21 03:00:00,32.33,45,1013,4.0,91,10000,76,9.1769,105.15
Ca Mau,2026-03-21 06:00:00,36.03,33,1010,6.77,106,10000,67,9.1769,105.15
Ca Mau,2026-03-21 09:00:00,30.66,54,1009,1.21,138,10000,78,9.1769,105.15
Ca Mau,2026-03-21 12:00:00,27.09,70,1011,3.77,116,10000,86,9.1769,105.15
Ca Mau,2026-03-21 15:00:00,25.42,77,1013,2.43,107,10000,19,9.1769,105.15
Ca Mau,2026-03-21 18:00:00,24.43,82,1012,1.69,107,10000,20,9.1769,105.15
Ca Mau,2026-03-21 21:00:00,23.68,86,1011,1.22,110,10000,4,9.1769,105.15
Ca Mau,2026-03-22 00:00:00,25.52,78,1012,2.48,106,10000,7,9.1769,105.15
Ca Mau,2026-03-22 03:00:00,32.27,45,1013,5.15,98,10000,0,9.1769,105.15
Ca Mau,2026-03-22 06:00:00,34.87,35,1010,6.7,105,10000,11,9.1769,105.15
Ca Mau,2026-03-22 09:00:00,32.0,42,1008,5.77,116,10000,55,9.1769,105.15
